text,label
"Worst movie I have ever seen, absolutely boring.",0
Not worth the price tag at all.,0
I watched it yesterday.,1
Not worth the price tag at all.,0
The plot made no sense and the acting was wooden.,0
The service was incredible and the food was delicious.,2
The product quality is outstanding and durable.,2
I arrived at the location at 5 PM.,1
I am so happy with this purchase.,2
The package was delivered on Tuesday.,1
"The movie was okay, nothing special.",1
The product broke after one day of use.,0
A joy to watch from start to finish.,2
Brilliant acting and a compelling story.,2
"I hate this, it is garbage.",0
"It does what it says, but nothing more.",1
I am extremely disappointed with the quality.,0
Brilliant acting and a compelling story.,2
The color is blue and the size is medium.,1
The product broke after one day of use.,0
"Standard quality, acceptable but not great.",1
"Exceeded all my expectations, 5 stars!",2
"It does what it says, but nothing more.",1
I am so happy with this purchase.,2
"Terrible service, rude staff, never coming back.",0
The color is blue and the size is medium.,1
Not worth the price tag at all.,0
It is an average product for the price.,1
"Don't buy this, it's a scam.",0
"I absolutely loved this movie, it was fantastic!",2
The package was delivered on Tuesday.,1
"Don't buy this, it's a scam.",0
Customer support was very helpful and polite.,2
"Terrible service, rude staff, never coming back.",0
The product broke after one day of use.,0
"It does what it says, but nothing more.",1
I arrived at the location at 5 PM.,1
Waiting for a response from the team.,1
The product quality is outstanding and durable.,2
"Best experience of my life, highly recommended.",2
The package was delivered on Tuesday.,1
The color is blue and the size is medium.,1
"It does what it says, but nothing more.",1
The plot made no sense and the acting was wooden.,0
This was a complete waste of time and money.,0
I arrived at the location at 5 PM.,1
"Worst movie I have ever seen, absolutely boring.",0
Slow shipping and damaged packaging.,0
"Don't buy this, it's a scam.",0
"I hate this, it is garbage.",0
A joy to watch from start to finish.,2
"Don't buy this, it's a scam.",0
A joy to watch from start to finish.,2
"I absolutely loved this movie, it was fantastic!",2
"Best experience of my life, highly recommended.",2
"Exceeded all my expectations, 5 stars!",2
I watched it yesterday.,1
This was a complete waste of time and money.,0
I am extremely disappointed with the quality.,0
"I absolutely loved this movie, it was fantastic!",2
"What a masterpiece, truly inspiring work.",2
I have mixed feelings about this.,1
The color is blue and the size is medium.,1
It is an average product for the price.,1
The product quality is outstanding and durable.,2
Brilliant acting and a compelling story.,2
Customer support was very helpful and polite.,2
Waiting for a response from the team.,1
Slow shipping and damaged packaging.,0
"Exceeded all my expectations, 5 stars!",2
It is an average product for the price.,1
"What a masterpiece, truly inspiring work.",2
Not worth the price tag at all.,0
"Terrible service, rude staff, never coming back.",0
"Best experience of my life, highly recommended.",2
I have mixed feelings about this.,1
I watched it yesterday.,1
It is an average product for the price.,1
Customer support was very helpful and polite.,2
"What a masterpiece, truly inspiring work.",2
I arrived at the location at 5 PM.,1
"I hate this, it is garbage.",0
Customer support was very helpful and polite.,2
"The movie was okay, nothing special.",1
Slow shipping and damaged packaging.,0
The product quality is outstanding and durable.,2
I have mixed feelings about this.,1
"Exceeded all my expectations, 5 stars!",2
"Worst movie I have ever seen, absolutely boring.",0
This was a complete waste of time and money.,0
I am so happy with this purchase.,2
"I absolutely loved this movie, it was fantastic!",2
It is an average product for the price.,1
I am extremely disappointed with the quality.,0
"Don't buy this, it's a scam.",0
"Standard quality, acceptable but not great.",1
I am so happy with this purchase.,2
"Worst movie I have ever seen, absolutely boring.",0
"Standard quality, acceptable but not great.",1
Customer support was very helpful and polite.,2
"What a masterpiece, truly inspiring work.",2
Slow shipping and damaged packaging.,0
I am so happy with this purchase.,2
The product broke after one day of use.,0
The plot made no sense and the acting was wooden.,0
A joy to watch from start to finish.,2
The package was delivered on Tuesday.,1
This was a complete waste of time and money.,0
"Best experience of my life, highly recommended.",2
"What a masterpiece, truly inspiring work.",2
I have mixed feelings about this.,1
A joy to watch from start to finish.,2
"The movie was okay, nothing special.",1
The color is blue and the size is medium.,1
The plot made no sense and the acting was wooden.,0
"I hate this, it is garbage.",0
The service was incredible and the food was delicious.,2
Waiting for a response from the team.,1
"I hate this, it is garbage.",0
"Standard quality, acceptable but not great.",1
